idKlienta;imie;nazwisko;idKategorii_FK
1;Magdalena;Sztreker;3
2;Kacper;Szramowiat;3
3;Paulina;Sikora;3
4;Bartosz;Nowak;1
5;Kacper;Wieczorek;1
6;Julian;Pocztarek;5
7;Karolina;Pawlak;2
8;Wojciech;Wieczorek;2
9;Julian;Sztreker;2
10;Kamil;Pocztarek;2
11;Agata;Sikora;3
12;Tomasz;Szramowiat;4
13;Janina;Mazur;3
14;Nina;Sztreker;3
15;Janina;Sztreker;3
16;Paulina;Pawlak;3
17;Janina;Miernik;4
18;Karol;Szramowiat;3
19;Kamil;Nowak;4
20;Kamil;Mazur;3
21;Karol;Szramowiat;3
22;Karolina;Sztreker;3
23;Klaudiusz;Lampa;3
24;Klaudiusz;Gajda;1
25;Patryk;Pocztarek;2
26;Karol;Sikora;2
27;Nina;Wojniak;2
28;Bartosz;Wojniak;2
29;Agata;Miernik;3
30;Janina;Juda;2
31;Klaudiusz;Gajda;5
32;Tomasz;Sztreker;2
33;Klaudiusz;Szramowiat;5
34;Paulina;Sikora;4
35;Janina;Gita;3
36;Nina;Wieczorek;4
37;Adam;Gita;3
38;Bartosz;Gajda;5
39;Magdalena;Gajda;1
40;Paulina;Lampa;3
41;Magdalena;Sztreker;1
42;Klaudiusz;Szramowiat;1
43;Karol;Wieczorek;4
44;Klaudiusz;Duda;2
45;Magdalena;Lampa;3
46;Patryk;Mazur;1
47;Kamil;Mazur;3
48;Adam;Miernik;1
49;Janina;Wojniak;1
50;Klaudiusz;Gajda;3
51;Adam;Wojniak;3
52;Julian;Juda;4
53;Paulina;Wojniak;4
54;Tomasz;Kowalski;1
55;Julian;Wieczorek;2
56;Magdalena;Duda;5
57;Agata;Pawlak;5
58;Karol;Lampa;1
59;Bartosz;Duda;5
60;Magdalena;Gajda;5
61;Karol;Mazur;3
62;Paulina;Wojniak;3
63;Wojciech;Pocztarek;3
64;Tomasz;Wieczorek;1
65;Patryk;Gajda;1
66;Magdalena;Sikora;3
67;Patryk;Gajda;3
68;Patryk;Pietrzak;4
69;Paulina;Sztreker;3
70;Patryk;Wieczorek;3
71;Patryk;Sztreker;3
72;Adam;Szramowiat;2
73;Janina;Sikora;3
74;Klaudiusz;Gita;1
75;Magdalena;Juda;3
76;Nina;Lampa;2
77;Bartosz;Sikora;3
78;Karol;Pocztarek;2
79;Tomasz;Miernik;3
80;Karol;Lampa;3
81;Paulina;Gita;3
82;Agata;Pietrzak;2
83;Agata;Wieczorek;3
84;Tomasz;Szramowiat;4
85;Karol;Pietrzak;3
86;Bartosz;Nowak;5
87;Patryk;Lampa;2
88;Klaudiusz;Gita;2
89;Kamil;Mazur;1
90;Piotr;Sikora;2
91;Kamil;Gita;2
92;Janina;Pocztarek;4
93;Klaudiusz;Gajda;2
94;Klaudiusz;Nowak;3
95;Kamil;Szramowiat;3
96;Magdalena;Mazur;3
97;Wojciech;Miernik;2
98;Piotr;Miernik;4
99;Paulina;Szramowiat;2
100;Magdalena;Wieczorek;1
101;Bartosz;Wojniak;3
102;Julian;Pawlak;3
103;Adam;Lampa;3
104;Bartosz;Pawlak;3
105;Karol;Gajda;3
106;Kamil;Juda;3
107;Piotr;Mazur;3
108;Nina;Nowak;5
109;Magdalena;Wojniak;2
110;Nina;Duda;1
111;Bartosz;Mazur;3
112;Kacper;Mazur;2
113;Klaudiusz;Miernik;3
114;Klaudiusz;Pawlak;4
115;Adam;Pocztarek;2
116;Nina;Kowalski;1
117;Kamil;Sztreker;3
118;Bartosz;Juda;3
119;Karol;Wieczorek;3
120;Patryk;Pocztarek;3
121;Kamil;Wojniak;3
122;Kamil;Mazur;3
123;Adam;Duda;3
124;Karol;Sikora;4
125;Adam;Pietrzak;4
126;Bartosz;Wieczorek;2
127;Bartosz;Pawlak;3
128;Julian;Duda;4
129;Karolina;Szramowiat;3
130;Nina;Kowalski;1
131;Paulina;Kowalski;3
132;Klaudiusz;Sikora;3
133;Karolina;Pietrzak;2
134;Bartosz;Gajda;4
135;Karol;Gita;3
136;Wojciech;Duda;2
137;Bartosz;Wieczorek;3
138;Janina;Pawlak;2
139;Kacper;Lampa;3
140;Paulina;Sztreker;3
141;Kacper;Wojniak;3
142;Tomasz;Sikora;3
143;Kamil;Juda;4
144;Patryk;Duda;5
145;Klaudiusz;Mazur;5
146;Tomasz;Wieczorek;2
147;Janina;Duda;3
148;Patryk;Pocztarek;3
149;Agata;Nowak;3
150;Janina;Juda;4
151;Paulina;Sztreker;2
152;Agata;Pietrzak;3
153;Janina;Pawlak;3
154;Kacper;Wojniak;2
155;Janina;Gita;2
156;Paulina;Wojniak;3
157;Agata;Lampa;3
158;Kamil;Kowalski;3
159;Patryk;Sikora;3
160;Klaudiusz;Pocztarek;3
